,class,question,sub_class
892,ENTY,What other name were the `` Little Rascals '' known as ?,termeq
893,NUM,When was the San Francisco fire ?,date
894,ENTY,What is a fear of food ?,dismed
895,NUM,"How many casinos are in Atlantic City , NJ ?",count
896,NUM,What year did the Vietnam War end ?,date
897,HUM,What are the names of Richard Nixon 's two daughters ?,ind
898,ENTY,What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,word
899,NUM,What is the chromosome number of an elephant ?,count
900,HUM,What organization was founded by the Rev. Jerry Falwell ?,gr
901,LOC,What 's the longest river in the world ?,other
902,ENTY,Which soft drink does Madonna advertise for ?,food
903,HUM,What company is being bought by Yahoo and how much is the deal worth ?,gr
904,NUM,When was Berlin 's Brandenburg gate erected ?,date
905,NUM,How many double-word-score spaces are there on a Scrabble Crossword Game board ?,count
906,NUM,What year did Germany sign its nonaggression pact with the Soviet Union ?,date
907,LOC,What mountain range is traversed by the highest railroad in the world ?,mount
908,DESC,Why were the American soldiers in WWI called `` Doughboys '',reason
909,HUM,Who was nicknamed The Little Corporal ?,ind
910,NUM,How many CDs has Garth Brooks sold ?,count
911,ENTY,Name the vessel used by the Atari Force in the DC comics .,veh
912,LOC,Where are the leading medical groups specializing in lung diseases ?,other
913,DESC,"How can I find online spelling , and punctuation drills for my 6th grader ?",manner
914,LOC,What 's the sacred river of India ?,other
915,LOC,What is Stefan Edberg 's native country ?,country
916,ENTY,What is the only gland in humans that can regenerate itself ?,body
917,NUM,How many Gutenberg Bibles are there ?,count
918,LOC,Name the largest country in South America .,country
919,ENTY,What astronomical phenomenon takes place in Jan. 1999 ?,event
920,DESC,What information can you get me on Fairground Park in St. Louis,desc
921,HUM,What was American folk hero John Chapman 's nickname ?,ind
922,DESC,What is the difference between a median and a mean ?,desc
923,ENTY,What was the top box office movie in April 1998 ?,cremat
924,DESC,What makes thunder ?,reason
925,HUM,What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,ind
926,ENTY,"Which is the largest clock , diameter wise , in Europe ?",other
927,ENTY,What plant is rum made from ?,plant
928,LOC,What country are Godiva chocolates from ?,country
929,HUM,"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?",ind
930,ENTY,Which condiment was once sold as a patent medicine ?,food
931,LOC,What U.S. state records the least rainfall ?,state
932,DESC,Why did the world enter a global depression in 1929 ?,reason
933,DESC,"What was archy , and mehitabel ?",def
934,LOC,What Texas city got its name from the Spanish for `` yellow '' ?,city
935,ENTY,What are the chemicals used in glowsticks ?,substance
936,LOC,What country did the Nile River originate in ?,country
937,ENTY,What color are tennis balls ?,color
938,HUM,What barroom judge called himself The Law West of the Pecos ?,ind
939,DESC,What excuse did the NATO people give for hitting the Chinese embassy ?,desc
940,HUM,Who was President of Costa Rica in 1994 ?,ind
941,ENTY,What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,sport
942,LOC,What country has the best defensive position in the board game Diplomacy ?,country
943,LOC,What two countries share the Khyber Pass ?,country
944,HUM,Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?,ind
945,DESC,What is the origin of the surname of Braun ?,desc
946,ENTY,"What card game has variations called Canfield , Klondike and Spider ?",sport
947,DESC,What is Australia Day ?,def
948,ENTY,What mammal of North America is the world 's longest-lived for its size ?,animal
949,DESC,What was the Chivington Massacre ?,def
950,HUM,"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?",ind
951,NUM,How many home runs did Lou Gehrig have during his career ?,count
952,LOC,In what city is the headquarters of Sinn Fein ?,city
953,LOC,Where can I find information on George Bush ?,other
954,HUM,Who is the voice of Miss Piggy ?,ind
955,ENTY,What is the dialogue circle in cartoons called ?,termeq
956,DESC,"What does the word camaro mean , from the GM car the Camaro ?",def
957,HUM,Who replaced Bert Parks as the host of The Miss America Pageant ?,ind
958,NUM,How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,count
959,DESC,What is the AIM-54C Phoenix ?,def
960,NUM,When are sheep shorn ?,date
961,ENTY,What sport is Chris Jogis a top player of ?,sport
962,LOC,What 's the second-largest island in the world ?,other
963,DESC,What is the definition of low island ?,def
964,NUM,What century does Captain Video live in ?,date
965,ENTY,What types of water pollution are there ?,other
966,NUM,How many astronauts manned each Project Mercury flight ?,count
967,ENTY,What soft drink would provide me with the biggest intake of caffeine ?,food
968,ENTY,What 's the name of a golf course in Myrtle Beach ?,other
969,ENTY,What are some of the significant historical events of the 1990s ?,event
970,ENTY,Name the only extant trilogy of classical Greek plays .,cremat
971,LOC,Where is Logan Airport ?,other
972,DESC,What is the difference between Neoclassical art and Romanticism art ?,desc
973,HUM,Who was the first person inducted into the U.S. Swimming Hall of Fame ?,ind
974,HUM,What golfer has been called Ohio Fats and Blobbo ?,ind
975,HUM,Who murdered Leno and Rosemary LaBianca on August 1,ind
976,NUM,What is the average cost for four years of medical school ?,money
977,ENTY,What does God create in the first sentence of the Bible ?,other
978,HUM,Which of the following men was not married to Rita Hayworth ?,ind
979,NUM,What is the current ticket fare from from Cairo to Barbados ?,money
980,ABBR,What does NN O `` mean when used as a prefix in Irish surnames ?,exp
981,DESC,How do you find oxidation numbers ?,manner
982,LOC,What is the state nickname of Mississippi ?,state
983,DESC,"What is Black Hills , South Dakota most famous for ?",reason
984,ENTY,What 1966 boob tube bomb took astronauts back to prehistoric times ?,cremat
985,NUM,How many students attend the University of Massachusetts ?,count
986,HUM,"Who said , `` I shall return . '' during World War Two ?",ind
987,ENTY,What holidays are celebrated in Ireland ?,event
988,HUM,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",ind
989,DESC,What are the Greek numerals ?,def
990,LOC,What 's the name of the temple that is located near the capital city of Laos ?,other
991,ENTY,What is a fear of sleep ?,dismed
992,ENTY,What auto race was Wilbur Reed the first to win three times ?,sport
993,ENTY,What are the most common breeding birds in the U.S. ?,animal
994,ENTY,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",event
995,DESC,How do you look up criminal records on the Internet ?,manner
996,LOC,"Where is the actress , Marion Davies , buried ?",other
997,DESC,What is an example of an actual case of using the Fourteenth Amendment ?,desc
998,HUM,Who was the Charlie perfume woman ?,ind
999,HUM,Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,ind
1000,HUM,"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",ind
1001,NUM,When did Iraqi troops invade Kuwait ?,date
1002,ENTY,What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',termeq
1003,ENTY,What car was driven in the 199 release of `` Smokey and the Bandit '' ?,product
1004,HUM,What was the backup singing group for Roy Rogers ?,gr
1005,HUM,What famous singing cowboy owns the California Angels baseball team ?,ind
1006,ENTY,What 1915 film was the first to gross $5 million ?,cremat
1007,DESC,Where did the term `` 86 '' come from ?,desc
1008,DESC,What causes someone to be ticklish ?,reason
1009,NUM,What is the probability that at least 2 out of 25 people will have the same birthday ?,perc
1010,NUM,How many Canadians emmigrate each year ?,count
1011,DESC,Why did several San Diego schools remove apples from students menus ?,reason
1012,ENTY,What musical instrument did Sherlock Holmes play ?,instru
1013,HUM,Who was Gerald Ford 's vice president ?,ind
1014,DESC,What is `` the washed vodka '' ?,def
1015,NUM,How many different languages are spoken in Europe ?,count
1016,NUM,What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,date
1017,ENTY,What 's a `` Drinker respirator '' better known as ?,termeq
1018,HUM,Who invented batteries ?,ind
1019,DESC,Why do recipe books recommend starting with cold water when you boil something ?,reason
1020,LOC,Where can I buy a good snowboard for less than $200 ?,other
1021,HUM,What title did Suzette Charles assume for two months in 1984 ?,title
1022,HUM,What was the infamous pseudonym of Peter Sutcliffe ?,ind
1023,ENTY,What is Smokey The Bear 's middle name ?,animal
1024,HUM,What is Nicholas Cage 's occupation ?,title
1025,ENTY,What British TV series featured Emma Peel ?,cremat
1026,LOC,What London street is the home of British journalism ?,other
1027,ENTY,What tragedy befell the city of Dogtown in 1899 ?,event
1028,DESC,What is the Immaculate Conception ?,def
1029,ENTY,What are the names of all the U.S. Navy aircraft carriers ?,veh
1030,ENTY,What format was VHS 's main competition ?,other
1031,DESC,What is Candlemas Day ?,def
1032,LOC,In what city is the famed St. Mark 's Square ?,city
1033,ENTY,What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,termeq
1034,NUM,How much did the minimum wage amount to in 1991 ?,money
1035,LOC,Where is Tufts University ?,other
1036,DESC,What is a pyrotechnic display ?,def
1037,DESC,How do I find out about jobs ?,manner
1038,HUM,What Japanese manufacturer is known for both its pianos and its motorcycles ?,gr
1039,NUM,What is the chemical reactivity of argon ?,other
1040,NUM,How many engines does a Boeing 737 have ?,count
1041,DESC,What is the origin of the term `` The Brooklyn Side '' in bowling ?,desc
1042,ENTY,What is a fear of being cold ?,dismed
1043,NUM,How long was Mao 's 1930s Long March ?,dist
1044,ENTY,What net game sees its women 's world amateur champions receive the Uber Cup ?,sport
1045,ENTY,What four-legged creature did a Cornell University study say would make man 's best companion in space ?,animal
1046,NUM,What does a teaspoon of matter weigh in a black hole ?,weight
1047,ENTY,"What did British companies stick 175 , 0 tons of tea into in 1982 ?",other
1048,LOC,What province is Edmonton located in ?,state
1049,DESC,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,manner
1050,HUM,Who did Sonny Liston succeed as world heavyweight boxing champion ?,ind
1051,ENTY,What is California 's state bird ?,animal
1052,NUM,What is Martin Luther King Jr. 's real birthday ?,date
1053,HUM,Name the various super-teams to which the Angel has belonged .,gr
1054,DESC,How does Zatanna perform her magic in DC comics ?,manner
1055,ENTY,What 's the name of Jacques Cousteau 's research ship ?,veh
1056,HUM,What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,ind
1057,HUM,Whose video is titled Shape Up with Arnold ?,ind
1058,ENTY,In which Kevin Costner movie did Sioux Indians play a role ?,cremat
1059,NUM,How many James Bond novels are there ?,count
1060,DESC,How do you get dates with the `` Hooters '' girls ?,manner
1061,ENTY,What bird can swim but can 't fly ?,animal
1062,DESC,How can I get a comic character I made copyrighted and published ?,manner
1063,NUM,How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,volsize
1064,DESC,What is Plc ?,def
1065,NUM,How much electricity does the brain need to work ?,count
1066,NUM,How many acres in a mile ?,count
1067,ENTY,What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,cremat
1068,DESC,What is a hyperlink ?,def
1069,HUM,Who 's the twin brother of the Greek goddess Artemis ?,ind
1070,DESC,Where did marijuana come from ?,desc
1071,NUM,"What is the per-capita income of Colombia , South America , ?",money
1072,ENTY,What novel has Big Brother watching ?,cremat
1073,NUM,How many Grammys did Michael Jackson win in 1983 ?,count
1074,DESC,What does Elysium mean ?,def
1075,LOC,What is the oldest website on the Internet ?,other
1076,DESC,What is Shalom ?,def
1077,ENTY,What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,sport
1078,ENTY,What organic fuel do bog-dwellers use a `` slane '' to cut ?,substance
1079,NUM,What is the average age of a member of the team that worked on the Manhatten Project ?,period
1080,LOC,What country received all the Nobel Prizes awarded in 1976 ?,country
1081,DESC,How do you get rid on woodpeckers ?,manner
1082,NUM,How many syllables are there in a line of hendecasyllabic poetry ?,count
1083,ENTY,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",food
1084,LOC,What is Britain 's possession on the Chinese mainland ?,other
1085,HUM,Who was America 's first Public Enemy No. 1 ?,ind
1086,NUM,How many children under 18 are victims of some sort of Physical Abuse each year ?,count
1087,DESC,What is the origin of thank you notes ?,desc
1088,ENTY,What did Jimmy Stewart invent ?,other
1089,ENTY,What generation am I in ?,other
1090,ENTY,What is a fear of hell ?,dismed
1091,HUM,Who is Dear Abby ?,desc
1092,HUM,"Who lives at 24 Sussex Drive , Ottawa ?",ind
1093,ENTY,What is Jell-O made from ?,substance
1094,HUM,Who was Monet ?,desc
1095,LOC,What are the only two states that incorporate the Confederate battle flag in their flags ?,state
1096,DESC,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,manner
1097,ENTY,What 's the Southern dish made of pigs ' small intestines ?,food
1098,LOC,Where is Guam ?,other
1099,HUM,Who was the famous door-to-door brush salesman ?,ind
1100,DESC,What is the executor in a will ?,def
1101,HUM,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",gr
1102,NUM,How many people in America snore ?,count
1103,HUM,Who is always trying to get the rent from Andy Capp ?,ind
1104,ENTY,What soft drink is most heavily caffeinated ?,food
1105,HUM,Who did Jackie Kennedy commission to write The Death of a President ?,ind
1106,ENTY,Which drug is commonly used to treat AIDS ?,dismed
1107,NUM,How many stars are there on the Soviet Union 's flag ?,count
1108,DESC,What is the difference between microprocessors & microcontrollers ?,desc
1109,HUM,Who sought to create The Great Society ?,ind
1110,LOC,What are tourist attractions in Reims ?,other
1111,NUM,What are the lengths of pearl necklaces ?,dist
1112,HUM,Who said : `` Soldiers win the battles and generals get the credit '' ?,ind
1113,DESC,What is the proof that houseplants metabolize carcinogens ?,desc
1114,DESC,What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,reason
1115,NUM,How long does it take the typical hen to lay 19 dozen eggs ?,period
1116,LOC,What Colorado city owns its own glacier ?,city
1117,DESC,What is the history of `` the toast '' ?,desc
1118,ENTY,What was the name of the Protestant revolt against the supremacy of the Pope ?,event
1119,DESC,What is an arab strap ?,def
1120,NUM,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",money
1121,HUM,Who is the current UN Secretary General ?,ind
1122,HUM,"Who provides telephone service in Orange County , California ?",gr
1123,LOC,Where did guinea pigs originate ?,other
1124,LOC,What two countries ' coastlines border the Bay of Biscay ?,country
1125,DESC,Why did Egyptians shave their eyebrows ?,reason
1126,HUM,What organization did Mr. Waverly assign agents for ?,gr
1127,NUM,When was the slinky invented ?,date
1128,HUM,What are the characters ' names in the Scooby-Doo cartoon ?,ind
1129,ENTY,What is a fear of cold ?,dismed
1130,HUM,What was Eduard Shevardnadze 's job in the Soviet Union ?,title
1131,DESC,What causes rust ?,reason
1132,HUM,Which is the only Dick Tracy villain to appear three times ?,ind
1133,ENTY,What was the monster in Spielberg 's film `` Jaws '' ?,animal
1134,ENTY,What color is an Arctic fox in winter ?,color
1135,DESC,"What do the names Neil , Mary , and Anthony mean ?",def
1136,LOC,"What European capital celebrated its 2 , 000th anniversary in 1951 ?",city
1137,DESC,Why do people in the upper peninsula of Michagin say `` eh ? '' ?,reason
1138,ENTY,What flower did Vincent Van Gogh paint ?,plant
1139,LOC,What country was the setting of You Only Live Twice ?,country
1140,NUM,What was Thatcher 's approval rating after 10 years in power ?,perc
1141,ENTY,Winnie the Pooh is what kind of animal ?,animal
1142,DESC,"What was the first Funk 'N Lata , Brazilian group , success ?",desc
1143,DESC,What is a handheld PC ?,def
1144,DESC,What did John Hinckley do to impress Jodie Foster ?,desc
1145,HUM,What is Larry King 's job ?,title
1146,NUM,How many calories are in a tomato ?,count
1147,LOC,In what state was the first co-educational college established,state
1148,ENTY,What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,event
1149,ENTY,What is the treatment for depression ?,techmeth
1150,ENTY,What is a fear of slime ?,dismed
1151,LOC,What country in Latin America is the largest one ?,country
1152,LOC,On which Hawaiian island is Pearl Harbor ?,other
1153,HUM,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",ind
1154,ENTY,What Marx Brothers movie centers on a stolen painting ?,cremat
1155,DESC,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,desc
1156,DESC,What is the origin of the word `` mind '' ?,desc
1157,NUM,When was Dick Clark born ?,date
1158,ENTY,What game is fatal to anybody over 21 ?,sport
1159,NUM,What is the death toll of people dying from tuberculosis ?,other
1160,DESC,What happened to Moon Maiden ?,desc
1161,LOC,What city is wiener schnitzel named for ?,city
1162,DESC,What are the Urals ?,def
1163,DESC,How can you stop the itch from poison ivy ?,manner
1164,LOC,What desert has the highest sand dunes ?,other
1165,LOC,What two countries contain Sierra Nevada mountains ?,country
1166,DESC,How do you tell your parents you are dating an older man ?,manner
1167,NUM,How long was the TV mission of Star Trek 's Enterprise to be ?,period
1168,NUM,What phone number can I call to have a tree planted ?,code
1169,NUM,When did the `` Star-Spangled Banner '' become the national anthem ?,date
1170,HUM,Who was Lacan ?,desc
1171,ENTY,What are the four natural aids used in riding a horse ?,techmeth
1172,LOC,What continent 's name appears on the upper left corner of a Budweiser label ?,other
1173,HUM,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,ind
1174,HUM,Who did Bobby Fischer beat to win the world chess championship ?,ind
1175,DESC,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,manner
1176,LOC,Where can I get information and statistics on countries and nations ?,other
1177,ENTY,Name a Gaelic language .,lang
1178,NUM,"What day is August 13 , 1971 ?",date
1179,LOC,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,other
1180,DESC,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,manner
1181,ENTY,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",cremat
1182,DESC,What is the origin of blue for boys and pink for girls ?,desc
1183,ENTY,What is the name of the Michelangelo painting that shows two hands with fingers touching ?,cremat
1184,NUM,How big is a quart ?,volsize
1185,DESC,What is the Hub of London ?,def
1186,ENTY,Jude Law acted in which film ?,cremat
1187,DESC,What causes panic attacks ?,reason
1188,DESC,What was the filling in the first golf balls ?,def
1189,ENTY,What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,dismed
1190,LOC,What country was A Terrible Beauty to Leon Uris ?,country
1191,DESC,What is typhoid fever ?,def
1192,LOC,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,other
1193,DESC,What are the Twin Cities ?,def
1194,ENTY,What is Beethoven 's 9th symphony called ?,cremat
1195,HUM,Name the lawyer for Randy Craft .,ind
1196,ENTY,Which breakfast cereal brought you `` the best each morning '' ?,food
1197,ABBR,"What does Ms. , Miss , and Mrs. stand for ?",exp
1198,LOC,What is the Homelite Inc. home page ?,other
1199,ENTY,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",substance
1200,LOC,What mountainous region of the world is the Lhasa Apso dog native to ?,other
1201,ENTY,What cancer is commonly associated with AIDS ?,dismed
1202,NUM,How long does it take light to reach the Earth from the Sun ?,period
1203,HUM,Who lives at 39 Stone Canyon Way ?,ind
1204,NUM,How many questions are on this thing ?,count
1205,HUM,Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,ind
1206,HUM,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",ind
1207,HUM,Who played the title role in I Was a Teenage Werewolf ?,ind
1208,DESC,Why are there olives in martinis ?,reason
1209,NUM,In what year did Hitler gain power of Germany ?,date
1210,NUM,What year did Rossetti paint `` Beata Beatrix '' ?,date
1211,HUM,What record company produced the 1978 movie The Wiz ?,gr
1212,LOC,Where can I find information about touring the Philippines ?,other
1213,ENTY,What did The Gas House Gang play ?,other
1214,NUM,How many square feet is Bill Gates ' home ?,count
1215,HUM,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",ind
1216,DESC,What is the highest Roman numeral ?,def
1217,ENTY,What 's the most popular form of bridge ?,other
1218,HUM,Who was the inventor of the stove ?,ind
1219,HUM,What comedian has a legendary reputation for stealing jokes ?,ind
1220,LOC,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,other
1221,NUM,Boxing Day is celebrated on what date ?,date
1222,ENTY,What are the first ten amendements passed ?,cremat
1223,ENTY,What is another term for the painful wrist syndrome ?,dismed
1224,DESC,What 's the difference between sleet and freezing rain ?,desc
1225,DESC,How is the new Ford Econoline van F25 V1 engine ?,manner
1226,HUM,Who was the king who was forced to agree to the Magna Carta ?,ind
1227,HUM,Who was made the first honorary citizen of the U.S. ?,ind
1228,ENTY,What game is Garry Kasparov really good at ?,sport
1229,LOC,Where was Richard Nixon when Gerald Ford became president ?,other
1230,NUM,Where does the U.S. rank among world countries in area ?,ord
1231,ENTY,What novel did Ian Fleming introduce James Bond in ?,cremat
1232,NUM,What was the target rate for M3 growth in 1992 ?,perc
1233,HUM,What baseball team was routinely called `` dem bums '' by its frustrated fans ?,gr
1234,HUM,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,ind
1235,NUM,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,date
1236,DESC,What are the major differences in the Catholic and Methodist religions ?,desc
1237,HUM,Name the On Stage character whose face was never seen .,ind
1238,NUM,How much energy is released when oxygen and hydrogen mix ?,count
1239,HUM,What is the best Internet business to go into ?,gr
1240,DESC,What does Venus Retrograde mean ?,def
1241,HUM,Who is known as `` the world 's oldest teenager '' ?,ind
1242,LOC,What are the largest breweries in the world ?,other
1243,DESC,What does Las Vegas mean ?,def
1244,DESC,What does the word `` meta '' mean ?,def
1245,ENTY,What keeps clouds in the air ?,other
1246,ENTY,What 's the term for any four-sided figure ?,termeq
1247,ENTY,Ray Charles plays which instrument ?,instru
1248,LOC,What country and western singer is known as The Silver Fox ?,country
1249,LOC,What building appropriately enough is depicted on the back of the 1-dollar bill ?,other
1250,DESC,What is graduate school ?,def
1251,DESC,What is the difference between New York-style and Chicago-style pizza ?,desc
1252,HUM,What baseball team owner and sailor is known as The Mouth of the South ?,ind
1253,ENTY,What type of betting is used in horse racing ?,sport
1254,ENTY,What kind of hat does Bat Masterson wear ?,product
1255,HUM,Who was with Patricia Hearst the night she was kidnaped ?,ind
1256,HUM,What is the Viking Prince 's first name ?,ind
1257,ABBR,What does the abbreviation cwt. ?,exp
1258,ENTY,In what deodorant commercial did tenants have adjoining medicine cabinets ?,other
1259,LOC,Where is Rider College located ?,other
1260,HUM,What boxer 's life story is titled Raging Bull ?,ind
1261,DESC,For what reason did some San Diego schools stop serving apples ?,reason
1262,HUM,Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,ind
1263,LOC,Where was the first restaurant ?,other
1264,LOC,Where can I find full written draft of CTBT ?,other
1265,NUM,How many horses died during the civil war ?,count
1266,NUM,How much waste does an average dairy cow produce in a day ?,count
1267,HUM,What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,ind
1268,HUM,"What woman has carried the most multiple births , twins , triplets , etc. , ?",ind
1269,NUM,How many minutes were there on the original GE College Bowl clock ?,count
1270,NUM,What is the average time it takes for a male to ejaculate ?,period
1271,LOC,What is website of the International Court of Justice ?,other
1272,LOC,Where are 8 of the 10 highest mountains in the world ?,other
1273,LOC,Where can I look at a perpetual calendar ?,other
1274,NUM,How many astronauts have been on the moon ?,count
1275,NUM,In what year did the Bounty mutiny happen ?,date
1276,ENTY,What is the only substance that gives food its `` taste '' when eaten ?,substance
1277,DESC,How do you reference a website ?,manner
1278,DESC,What is pandoro ?,def
1279,ABBR,What do the letters ZIP stand for in the phrase `` ZIP code '' ?,exp
1280,HUM,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,ind
1281,LOC,What is one of the cities that the University of Minnesota is located in ?,city
1282,DESC,What are the words to `` My Way '' written by Paul Anka ?,desc
1283,DESC,How do I install a tile floor ?,manner
1284,ENTY,What is the quickest and easiest way to get nail polish out of clothes ?,techmeth
1285,DESC,Why was the zipper invented ?,reason
1286,ENTY,What 's the No. 1 killer in industrialized countries ?,other
1287,ENTY,Name four famous cartoon cats .,animal
1288,HUM,What daughter of Henry VIII and Anne Boleyn became queen of England ?,ind
1289,DESC,How did ` stat ' come to be used as an expression for quickly ?,manner
1290,HUM,What 's the most common nickname of U.S. college football teams ?,gr
1291,DESC,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,desc
1292,LOC,What is the most useful site on the Internet ?,other
1293,LOC,What is the world 's highest peak ?,mount
1294,DESC,What was a Mae West on a World War II battleship ?,def
1295,DESC,Define cosmology .,def
1296,HUM,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,ind
1297,DESC,What are amicable numbers ?,def
1298,NUM,When were the Olympic Games in which Nadia Comaneci became popular played ?,date
1299,LOC,"Where is Hearst Castle , built by publisher William Randolph Hearst ?",other
1300,LOC,What 's the largest U.S. city on the Great Lakes ?,city
1301,HUM,Who sang about Desmond and Molly Jones ?,ind
1302,ENTY,"What magazine gives us the cream , not the skim ?",cremat
1303,ENTY,What does the technique called `` cold fusion '' produce ?,techmeth
1304,HUM,What costume designer decided that Michael Jackson should only wear one glove ?,ind
1305,ENTY,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",other
1306,NUM,How many rows of sprocket holes does a roll of 35-millimeter film have ?,count
1307,NUM,What is the goat population of the world ?,count
1308,HUM,What company was the original sponsor of TV 's Superman ?,gr
1309,ENTY,What term does a Czech use to describe a Pole ?,termeq
1310,LOC,What sea separates Naples and Algiers ?,other
1311,NUM,How many lawyers are there in the state of New Jersey ?,count
1312,ENTY,What are the most common elements in seawater ?,substance
1313,DESC,Describe the Finnish music personality Salonen 's appearance .,desc
1314,DESC,What is the origin of the ethnic category `` caucasian '' ?,desc
1315,DESC,What is a stratocaster ?,def
1316,ENTY,What kind of science is cosmology ?,other
1317,HUM,Name the blind sculptress in love with the Fantastic Four 's Thing .,ind
1318,ENTY,What 's the second-lightest element ?,substance
1319,ENTY,What do you call a `` twirl '' in ballet ?,termeq
1320,ENTY,What is the brand name of daminozide ?,product
1321,ENTY,What is the former name of Zimbabwe ?,termeq
1322,HUM,What National Basketball Association superstar told his story in Giant Steps ?,ind
1323,ENTY,What animals did The Amazing Three masquerade as ?,animal
1324,DESC,How did the bikini bathing suite get its name ?,manner
1325,NUM,When did Fraze get his first patent for the pull-tab can ?,date
1326,NUM,How many games are played in a five-team round-robin tournament ?,count
1327,HUM,Who developed the first polio vaccine ?,ind
1328,HUM,Who made the first gas engine ?,ind
1329,LOC,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",country
1330,ENTY,What civil war was fought between 1936 and 1939 ?,event
1331,NUM,How many questions do you have on your database ?,count
1332,DESC,How do clouds form ?,manner
1333,LOC,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,other
1334,HUM,What character did Tex Avery first create upon arriving at MGM ?,ind
1335,NUM,When was the Triangle Shirtwaist fire ?,date
1336,HUM,What Asian spiritual and political leader was married at the age of 13 ?,ind
1337,LOC,Where is Ocho Rios ?,other
1338,DESC,What is the half-life of P-32 ?,def
1339,LOC,What ocean does Mauritania border ?,other
1340,DESC,Why do pressure cookers save time in the kitchen ?,reason
1341,DESC,Why are there 12 people on a jury in criminal cases ?,reason
1342,DESC,What do Christian Scientists believe in ?,desc
1343,ENTY,"What World War I battle saw 6 , 0 troops killed in one day ?",event
1344,LOC,What country is Kosovo a part of ?,country
1345,LOC,Tell me what city the Kentucky Horse Park is near ?,city
1346,ENTY,What computer operating system is on the most computers ?,product
1347,LOC,What is Bill Gross 's email address ?,other
1348,DESC,What is the economic impact of unemployment on the economy ?,desc
1349,ABBR,"What do the letters D.C. stand for in Washington , D.C. ?",exp
1350,ENTY,What animals can live the longest without food ?,animal
1351,HUM,What English queen had seventeen children ?,ind
1352,NUM,"What is the approximate population of Las Vegas , N.M ?",other
1353,NUM,How much does the President get paid ?,money
1354,HUM,What two baseball players make up the battery ?,ind
1355,ENTY,What 's the largest letter in Salvador Dali 's signature ?,letter
1356,ENTY,What does an irate car owner call iron oxide ?,termeq
1357,NUM,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",perc
1358,LOC,What 's the northernmost U.S. state apart from Alaska ?,state
1359,LOC,Name an art gallery in New York .,other
1360,HUM,Who sells Viagra ?,ind
